iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,12/10/2022,200729,103,126.286,7807,0,0.429,5005.778,2.569,3.149,194.691,0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40099462,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,12/10/2022,12366090,730,758.286,256800,1,2,8881.17,0.524,0.545,184.431,0.001,0.001,,,,,,,,,,,,,,,,,,,649259955,408664652,324933768,52217845,,,46.63,29.35,23.34,3.75,,,,,1392394303,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,12/10/2022,332555,21,26.143,3591,1,0.286,116493.444,7.356,9.158,1257.921,0.35,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2854710,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,12/10/2022,270722,6,4.143,6881,0,0.286,6127.987,0.136,0.094,155.756,0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44177969,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,12/10/2022,46366,91,19.857,155,0,0,586658.906,1151.403,251.248,1961.181,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79034,163.755,,,,,,109.135,7.97,29,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,12/10/2022,103131,0,0,1917,0,0,2988.977,0,0,55.559,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34503774,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,12/10/2022,3866,0,0,12,0,0,245413.572,0,0,761.76,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15753,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,12/10/2022,9106,8,1.143,146,0,0,97682.901,85.818,12.26,1566.188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93220,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,12/10/2022,9713594,,,129958,,,214538.092,,,2870.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45276780,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67,0.845,,,,
ARM,Asia,Armenia,12/10/2022,444482,,,8700,0,1.286,159256.948,,,3117.191,0,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790974,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,12/10/2022,44145,0,0,230,0,0,414366.975,0,0,2158.895,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106536,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,12/10/2022,186938155,183970,128595.143,1487957,295,261.714,39831.403,39.199,27.4,317.043,0.063,0.056,,,,,,,,,,,,,,,,,,,8745075236,3613613406,3394871514,1676656145,,,186.33,77,72.34,35.72,,,,,4693235454,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,12/10/2022,10281387,1237,5031,15399,10,21.429,396641.785,47.722,194.089,594.072,0.386,0.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25921089,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,12/10/2022,5292125,18465,13816.714,20880,23,14.429,593149.11,2069.584,1548.598,2340.261,2.578,1.617,,130,14.571,2593,290.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,8922082,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,12/10/2022,822346,68,68.714,9931,0,0.857,79738.838,6.594,6.663,962.96,0,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10312992,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,,,,
BHS,North America,Bahamas,12/10/2022,37318,0,1.286,833,0,0,91486.764,0,3.152,2042.137,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,12/10/2022,684545,316,296.429,1521,0,0.143,467820.251,215.955,202.58,1039.456,0,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463265,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29,0.852,,,,
BGD,Asia,Bangladesh,12/10/2022,2031006,456,413.143,29388,2,2,11992.507,2.693,2.439,173.528,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169356251,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,12/10/2022,102609,29,4.143,560,0,0,364896.871,103.129,14.733,1991.465,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281200,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,12/10/2022,994037,0,0,7118,0,0,103781.537,0,0,743.148,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9578168,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79,0.823,,,,
BEL,Europe,Belgium,12/10/2022,4575519,,,32746,,,394053.354,,,2820.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11611420,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,12/10/2022,68909,0,3.571,686,0,0,172259.15,0,8.928,1714.867,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400031,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,12/10/2022,27782,0,0,163,0,0,2137.587,0,0,12.541,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12996895,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,12/10/2022,18220,0,0,148,0,0,283866.947,0,0,2305.835,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64185,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,
BTN,Asia,Bhutan,12/10/2022,62200,,,21,0,0,80001.441,,,27.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777486,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,12/10/2022,1108818,50,49.429,22237,0,0,91793.582,4.139,4.092,1840.892,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12079472,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
BES,North America,Bonaire Sint Eustatius and Saba,12/10/2022,11395,29,4.143,38,0,0,426683.142,1085.898,155.128,1422.901,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26706,,,,,,,,,,,,,77.79,,,,,
BIH,Europe,Bosnia and Herzegovina,12/10/2022,399298,71,71.714,16156,1,2.571,122074.276,21.706,21.925,4939.248,0.306,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3270943,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,,,,
BWA,Africa,Botswana,12/10/2022,326344,0,2.143,2790,0,0.143,126078.311,0,0.828,1077.876,0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588423,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,
BRA,South America,Brazil,12/10/2022,34731539,,,686963,,,162049.881,,,3205.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214326223,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,
VGB,North America,British Virgin Islands,12/10/2022,7305,0,0,64,0,0,234721.419,0,0,2056.423,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31122,207.973,,,,,,,13.67,,,,,79.07,,,,,
BRN,Asia,Brunei,12/10/2022,231833,,,225,0,0,520536.719,,,505.195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BGR,Europe,Bulgaria,12/10/2022,1268035,885,727.143,37771,7,4.857,184150.35,128.524,105.599,5485.292,1.017,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6885868,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,
BFA,Africa,Burkina Faso,12/10/2022,21631,0,0,387,0,0,978.748,0,0,17.511,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22100683,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,
BDI,Africa,Burundi,12/10/2022,50289,0,13.714,38,0,0,4006.704,0,1.093,3.028,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12551213,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,12/10/2022,137941,4,6,3056,0,0,8315.197,0.241,0.362,184.218,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16589023,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,12/10/2022,121652,0,0,1935,0,0,4472.726,0,0,71.143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27198628,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,12/10/2022,4309992,3836,3057,45724,62,34,112960.048,100.537,80.121,1198.375,1.625,0.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38155012,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,12/10/2022,62390,0,0.857,410,0,0,106118.978,0,1.458,697.368,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587925,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,12/10/2022,30809,0,0,34,0,0,452169.191,0,0,499.002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68136,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,12/10/2022,14957,0,4.857,113,0,0,2740.806,0,0.89,20.707,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457154,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,,,
TCD,Africa,Chad,12/10/2022,7605,0,2.143,193,0,0,442.673,0,0.125,11.234,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17179740,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,12/10/2022,4659201,2359,2994.714,61350,5,16.714,239016.93,121.017,153.629,3147.254,0.256,0.857,,93,4.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19493184,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,12/10/2022,1008241,369,1798.714,5226,0,0,707.094,0.259,1.261,3.665,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425893464,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,12/10/2022,6308087,,,141807,,,122447.748,,,2752.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51516562,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,12/10/2022,8473,0,0.286,161,0,0,10312.478,0,0.348,195.953,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821626,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,12/10/2022,24837,0,0,386,0,0,4255.967,0,0,66.143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835806,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,12/10/2022,6389,0,0,1,0,0,375757.219,0,0,58.813,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17003,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,12/10/2022,1127602,102,657.286,8974,0,1.143,218783.742,19.791,127.53,1741.186,0,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5153957,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,12/10/2022,87490,35,24.857,826,0,0,3183.973,1.274,0.905,30.06,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27478249,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,12/10/2022,1239496,940,588.143,16994,8,8.143,305284.43,231.519,144.858,4185.575,1.97,2.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4060135,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,12/10/2022,1111242,4,3.429,8530,0,0,98721.151,0.355,0.305,757.793,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11256372,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,12/10/2022,45406,16,2.286,289,2,0.286,238554.571,84.061,12.009,1518.352,10.508,1.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190338,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,12/10/2022,590783,,,1187,0,0.714,659350.876,,,1324.766,0,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896007,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,12/10/2022,4136263,2222,2229.714,41332,21,21,393526.913,211.403,212.137,3932.355,1.998,1.998,,111,10.561,1651,157.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,10510750,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,12/10/2022,92934,0,5.857,1443,0,0,969.131,0,0.061,15.048,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95894118,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,12/10/2022,3314946,1402,1328.857,7158,7,7.857,566247.028,239.485,226.991,1222.704,1.196,1.342,,,,504,86.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,5854240,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,12/10/2022,15690,0,0,189,0,0,14191.941,0,0,170.955,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105557,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,12/10/2022,15760,0,1.857,74,0,0,217643.485,0,25.647,1021.93,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72412,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,,,,
DOM,North America,Dominican Republic,12/10/2022,646209,0,0,4384,0,0,58123.433,0,0,394.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11117874,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,12/10/2022,1006070,0,0,35900,0,0,56527.973,0,0,2017.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17797737,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,12/10/2022,515645,0,0,24797,0,0,4719.337,0,0,226.95,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,12/10/2022,201785,0,0,4230,0,0,31957.501,0,0,669.922,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6314167,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,12/10/2022,17046,0,3,183,0,0,10429.094,0,1.835,111.963,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634466,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,12/10/2022,10182,2,1,103,0,0,2812.465,0.552,0.276,28.451,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620312,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,12/10/2022,604552,,,2713,,,454994.766,,,2041.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328701,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,12/10/2022,73436,0,3.714,1422,0,0,61593.379,0,3.115,1192.682,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192271,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
ETH,Africa,Ethiopia,12/10/2022,493723,15,11.857,7572,0,0,4104.677,0.125,0.099,62.952,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120283026,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
OWID_EUR,,Europe,12/10/2022,232467030,327932,291707.714,1948373,671,564.286,310512.801,438.028,389.642,2602.497,0.896,0.754,,,,,,,,,,,,,,,,,,,1333697820,519140638,496664463,333682905,,,178.15,69.34,66.34,44.57,,,,,748655221,,,,,,,,,,,,,,,,,,
OWID_EUN,,European Union,12/10/2022,170678382,309950,256837.143,1152693,551,440.714,381324.495,692.481,573.818,2575.312,1.231,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447593544,,,,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,12/10/2022,34658,0,0,28,0,0,655309.333,0,0,529.421,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52888,35.308,,,,,,,,,,,,80.67,,,,,
FLK,South America,Falkland Islands,12/10/2022,1930,0,0,,,,512752.391,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3764,,,,,,,,,,,,,81.44,,,,,
FJI,Oceania,Fiji,12/10/2022,68245,0,0.429,878,0,0,73809.498,0,0.464,949.59,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924610,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,
FIN,Europe,Finland,12/10/2022,1312634,,,6149,,,237109.085,,,1110.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5535992,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
FRA,Europe,France,12/10/2022,36100596,67948,56951.286,155744,55,50.857,535442.378,1007.802,844.699,2309.988,0.816,0.754,,941,13.957,18187,269.749,537,7.965,7441,110.365,,,,,,,,,,,,,,,,,,,,,,,,67422000,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,,,,
PYF,Oceania,French Polynesia,12/10/2022,76703,0,0,649,0,0,252285.944,0,0,2134.644,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304032,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,
GAB,Africa,Gabon,12/10/2022,48772,0,8.429,306,0,0,20832.239,0,3.6,130.703,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2341179,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,,,,
GMB,Africa,Gambia,12/10/2022,12508,0,0,372,0,0,4738.03,0,0,140.914,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639916,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,12/10/2022,1780691,0,0,16900,0,0,473842.596,0,0,4497.097,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3757980,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,12/10/2022,34403129,145213,107267.714,151095,176,115.143,412465.237,1740.985,1286.052,1811.505,2.11,1.38,,1668,19.998,,,,,12065,144.649,,,,,,,,,,,,,,,,,,,,,,,,83408554,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,,,,
GHA,Africa,Ghana,12/10/2022,170103,,,1459,0,0,5180.85,,,44.437,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32833031,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,12/10/2022,20095,0,0,108,0,0,615090.297,0,0,3305.785,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32670,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,12/10/2022,5026494,,,33313,,,481217.65,,,3189.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10445365,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,12/10/2022,11971,0,0,21,0,0,212844.265,0,0,373.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56243,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,12/10/2022,19574,38,5.429,237,0,0,157082.096,304.951,43.564,1901.934,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124610,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,12/10/2022,1130829,727,548.429,19844,4,4.286,64220.694,41.287,31.146,1126.957,0.227,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17608483,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GIN,Africa,Guinea,12/10/2022,37950,0,5.857,455,0,0.286,2804.483,0,0.433,33.624,0,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13531906,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,12/10/2022,8831,0,5,176,0,0.143,4285.393,0,2.426,85.407,0,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060721,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,12/10/2022,71393,10,5.286,1281,0,0,88734.686,12.429,6.57,1592.161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804567,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,12/10/2022,33761,5,0.714,857,0,0,2949.185,0.437,0.062,74.863,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11447569,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,,,,
OWID_HIC,,High income,12/10/2022,386186730,523107,427202.714,2684933,1503,1024.857,311096.126,421.393,344.137,2162.871,1.211,0.826,,,,,,,,,,,,,,,,,,,2645351597,990957037,929249752,736711523,,,213.1,79.83,74.86,59.35,,,,,1241374280,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,12/10/2022,456664,0,0,10996,0,0,44429.717,0,0,1069.822,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10278346,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,12/10/2022,1816132,4788,4685,10246,9,7.429,242326.119,638.862,625.119,1367.122,1.201,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7494578,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
